#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
134	<2.45,0,1.7435>,<2.45,3,1.7435>,<2.5,0,1.55166>,1	<-0.57552,0,-0.15>	1.31583	1.5708	0.297373
135	<2.45,3,1.7435>,<2.5,0,1.55166>,<2.5,3,1.55166>,1	<0.57552,-0,0.15>	1.31583	1.5708	0.297373
136	<2.5,0,1.55166>,<2.5,3,1.55166>,<2.55,0,1.31469>,1	<-0.71091,0,-0.15>	1.36285	1.5708	0.363281
137	<2.5,3,1.55166>,<2.55,0,1.31469>,<2.55,3,1.31469>,1	<0.71091,-0,0.15>	1.36285	1.5708	0.363281
138	<2.55,0,1.31469>,<2.55,3,1.31469>,<2.6,0,1.0395>,1	<-0.82557,0,-0.15>	1.39106	1.5708	0.419543
139	<2.55,3,1.31469>,<2.6,0,1.0395>,<2.6,3,1.0395>,1	<0.82557,-0,0.15>	1.39106	1.5708	0.419543
140	<2.6,0,1.0395>,<2.6,3,1.0395>,<2.65,0,0.734076>,1	<-0.916272,0,-0.150001>	1.40853	1.5708	0.464234
141	<2.6,3,1.0395>,<2.65,0,0.734076>,<2.65,3,0.734076>,1	<0.916272,-0,0.150001>	1.40853	1.5708	0.464234
142	<2.65,0,0.734076>,<2.65,3,0.734076>,<2.7,0,0.407307>,1	<-0.980307,0,-0.15>	1.41896	1.5708	0.495858
143	<2.65,3,0.734076>,<2.7,0,0.407307>,<2.7,3,0.407307>,1	<0.980307,-0,0.15>	1.41896	1.5708	0.495858
144	<2.7,0,0.407307>,<2.7,3,0.407307>,<2.75,0,0.0686924>,1	<-1.01584,0,-0.15>	1.4242	1.5708	0.513429
145	<2.7,3,0.407307>,<2.75,0,0.0686924>,<2.75,3,0.0686924>,1	<1.01584,-0,0.15>	1.4242	1.5708	0.513429
146	<2.75,0,0.0686924>,<2.75,3,0.0686924>,<2.8,0,-0.271919>,1	<-1.02183,0,-0.15>	1.42504	1.5708	0.516393
147	<2.75,3,0.0686924>,<2.8,0,-0.271919>,<2.8,3,-0.271919>,1	<1.02183,-0,0.15>	1.42504	1.5708	0.516393
148	<2.8,0,-0.271919>,<2.8,3,-0.271919>,<2.85,0,-0.604624>,1	<-0.998115,0,-0.15>	1.42163	1.5708	0.504662
149	<2.8,3,-0.271919>,<2.85,0,-0.604624>,<2.85,3,-0.604624>,1	<0.998115,-0,0.15>	1.42163	1.5708	0.504662
150	<2.85,0,-0.604624>,<2.85,3,-0.604624>,<2.9,0,-0.919746>,1	<-0.945366,0,-0.150001>	1.41344	1.5708	0.478596
151	<2.85,3,-0.604624>,<2.9,0,-0.919746>,<2.9,3,-0.919746>,1	<0.945366,-0,0.150001>	1.41344	1.5708	0.478596
152	<2.9,0,-0.919746>,<2.9,3,-0.919746>,<2.95,0,-1.20812>,1	<-0.865122,0,-0.15>	1.39912	1.5708	0.439015
153	<2.9,3,-0.919746>,<2.95,0,-1.20812>,<2.95,3,-1.20812>,1	<0.865122,-0,0.15>	1.39912	1.5708	0.439015
154	<2.95,0,-1.20812>,<2.95,3,-1.20812>,<3,0,-1.46137>,1	<-0.75975,0,-0.15>	1.37587	1.5708	0.387208
155	<2.95,3,-1.20812>,<3,0,-1.46137>,<3,3,-1.46137>,1	<0.75975,-0,0.15>	1.37587	1.5708	0.387208
156	<3,0,-1.46137>,<3,3,-1.46137>,<3.05,0,-1.67211>,1	<-0.63222,0,-0.15>	1.33784	1.5708	0.324885
157	<3,3,-1.46137>,<3.05,0,-1.67211>,<3.05,3,-1.67211>,1	<0.63222,-0,0.15>	1.33784	1.5708	0.324885
158	<3.05,0,-1.67211>,<3.05,3,-1.67211>,<3.1,0,-1.83424>,1	<-0.48639,0,-0.15>	1.27166	1.5708	0.254497
159	<3.05,3,-1.67211>,<3.1,0,-1.83424>,<3.1,3,-1.83424>,1	<0.48639,-0,0.15>	1.27166	1.5708	0.254497
160	<3.1,0,-1.83424>,<3.1,3,-1.83424>,<3.15,0,-1.94302>,1	<-0.32634,0,-0.150001>	1.13995	1.5708	0.179581
161	<3.1,3,-1.83424>,<3.15,0,-1.94302>,<3.15,3,-1.94302>,1	<0.32634,-0,0.150001>	1.13995	1.5708	0.179581
162	<3.15,0,-1.94302>,<3.15,3,-1.94302>,<3.2,0,-1.9953>,1	<-0.15684,0,-0.15>	0.807687	1.5708	0.108511
163	<3.15,3,-1.94302>,<3.2,0,-1.9953>,<3.2,3,-1.9953>,1	<0.15684,-0,0.15>	0.807687	1.5708	0.108511
164	<3.2,0,-1.9953>,<3.2,3,-1.9953>,<3.25,0,-1.98956>,-1	<0.0172201,-0,-0.15>	0.114301	-1.5708	0.0754925
165	<3.2,3,-1.9953>,<3.25,0,-1.98956>,<3.25,3,-1.98956>,-1	<-0.0172201,-0,0.15>	0.114301	-1.5708	0.0754925
166	<3.25,0,-1.98956>,<3.25,3,-1.98956>,<3.3,0,-1.92597>,-1	<0.19077,-0,-0.15>	0.904474	-1.5708	0.12134
167	<3.25,3,-1.98956>,<3.3,0,-1.92597>,<3.3,3,-1.92597>,-1	<-0.19077,-0,0.15>	0.904474	-1.5708	0.12134
168	<3.3,0,-1.92597>,<3.3,3,-1.92597>,<3.35,0,-1.80636>,-1	<0.35883,-0,-0.15>	1.17485	-1.5708	0.19446
169	<3.3,3,-1.92597>,<3.35,0,-1.80636>,<3.35,3,-1.80636>,-1	<-0.35883,-0,0.15>	1.17485	-1.5708	0.19446
170	<3.35,0,-1.80636>,<3.35,3,-1.80636>,<3.4,0,-1.63423>,-1	<0.51639,-0,-0.150001>	1.2881	-1.5708	0.268867
171	<3.35,3,-1.80636>,<3.4,0,-1.63423>,<3.4,3,-1.63423>,-1	<-0.51639,-0,0.150001>	1.2881	-1.5708	0.268867
172	<3.4,0,-1.63423>,<3.4,3,-1.63423>,<3.45,0,-1.41458>,-1	<0.65895,-0,-0.15>	1.34698	-1.5708	0.337904
173	<3.4,3,-1.63423>,<3.45,0,-1.41458>,<3.45,3,-1.41458>,-1	<-0.65895,-0,0.15>	1.34698	-1.5708	0.337904
174	<3.45,0,-1.41458>,<3.45,3,-1.41458>,<3.5,0,-1.15379>,-1	<0.78237,-0,-0.15>	1.38137	-1.5708	0.39831
175	<3.45,3,-1.41458>,<3.5,0,-1.15379>,<3.5,3,-1.15379>,-1	<-0.78237,-0,0.15>	1.38137	-1.5708	0.39831
176	<3.5,0,-1.15379>,<3.5,3,-1.15379>,<3.55,0,-0.859445>,-1	<0.883035,-0,-0.15>	1.40253	-1.5708	0.447842
177	<3.5,3,-1.15379>,<3.55,0,-0.859445>,<3.55,3,-0.859445>,-1	<-0.883035,-0,0.15>	1.40253	-1.5708	0.447842
178	<3.55,0,-0.859445>,<3.55,3,-0.859445>,<3.6,0,-0.540111>,-1	<0.958002,-0,-0.15>	1.41548	-1.5708	0.484837
179	<3.55,3,-0.859445>,<3.6,0,-0.540111>,<3.6,3,-0.540111>,-1	<-0.958002,-0,0.15>	1.41548	-1.5708	0.484837
