-0.752307 5 3.92862,-0.712984 0 3.93594,-0.712984 5 3.93594
-0.791555 0 3.9209,-0.791555 5 3.9209,-0.752307 0 3.92862
-0.791555 5 3.9209,-0.752307 0 3.92862,-0.752307 5 3.92862
-0.830724 0 3.91279,-0.830724 5 3.91279,-0.791555 0 3.9209
-0.830724 5 3.91279,-0.791555 0 3.9209,-0.791555 5 3.9209
-0.86981 0 3.90428,-0.86981 5 3.90428,-0.830724 0 3.91279
-0.86981 5 3.90428,-0.830724 0 3.91279,-0.830724 5 3.91279
-0.908808 0 3.89539,-0.908808 5 3.89539,-0.86981 0 3.90428
-0.908808 5 3.89539,-0.86981 0 3.90428,-0.86981 5 3.90428
-0.947716 0 3.88611,-0.947716 5 3.88611,-0.908808 0 3.89539
-0.947716 5 3.88611,-0.908808 0 3.89539,-0.908808 5 3.89539
-0.986529 0 3.87644,-0.986529 5 3.87644,-0.947716 0 3.88611
-0.986529 5 3.87644,-0.947716 0 3.88611,-0.947716 5 3.88611
-1.02524 0 3.86638,-1.02524 5 3.86638,-0.986529 0 3.87644
-1.02524 5 3.86638,-0.986529 0 3.87644,-0.986529 5 3.87644
-1.06386 0 3.85593,-1.06386 5 3.85593,-1.02524 0 3.86638
-1.06386 5 3.85593,-1.02524 0 3.86638,-1.02524 5 3.86638
-1.10236 0 3.8451,-1.10236 5 3.8451,-1.06386 0 3.85593
-1.10236 5 3.8451,-1.06386 0 3.85593,-1.06386 5 3.85593
-1.14076 0 3.83389,-1.14076 5 3.83389,-1.10236 0 3.8451
-1.14076 5 3.83389,-1.10236 0 3.8451,-1.10236 5 3.8451
-1.17904 0 3.82229,-1.17904 5 3.82229,-1.14076 0 3.83389
-1.17904 5 3.82229,-1.14076 0 3.83389,-1.14076 5 3.83389
-1.2172 0 3.8103,-1.2172 5 3.8103,-1.17904 0 3.82229
-1.2172 5 3.8103,-1.17904 0 3.82229,-1.17904 5 3.82229
-1.25524 0 3.79794,-1.25524 5 3.79794,-1.2172 0 3.8103
-1.25524 5 3.79794,-1.2172 0 3.8103,-1.2172 5 3.8103
-1.29316 0 3.7852,-1.29316 5 3.7852,-1.25524 0 3.79794
-1.29316 5 3.7852,-1.25524 0 3.79794,-1.25524 5 3.79794
-1.33094 0 3.77208,-1.33094 5 3.77208,-1.29316 0 3.7852
-1.33094 5 3.77208,-1.29316 0 3.7852,-1.29316 5 3.7852
-1.3686 0 3.75858,-1.3686 5 3.75858,-1.33094 0 3.77208
